timestamp,index,middle,ring,pinky,thumb,label,phrase
2026-06-07T16:22:19,0,0,0,0,0,REST,
2026-06-07T16:27:58,0,0,0,0,100,REST,
2026-06-07T16:30:10,100,0,0,0,100,HELLO,Hello
2026-06-07T16:30:25,70,0,0,0,100,HELLO,Hello
2026-06-07T16:30:30,76,0,0,0,100,HELLO,Hello
2026-06-07T16:30:34,100,0,0,100,100,HELLO,Hello
2026-06-07T16:30:34,78,0,0,0,0,HELLO,Hello
2026-06-07T16:30:41,87,0,0,0,100,HELLO,Hello
2026-06-07T16:30:42,97,0,0,0,100,HELLO,Hello
2026-06-07T16:30:49,72,0,0,0,100,HELLO,Hello
2026-06-07T16:30:51,74,0,0,0,100,HELLO,Hello
2026-06-07T16:30:52,89,0,0,0,100,HELLO,Hello
2026-06-07T16:30:55,82,0,0,0,100,HELLO,Hello
2026-06-07T16:30:58,78,0,0,0,100,HELLO,Hello
2026-06-07T16:30:59,85,0,0,100,100,HELLO,Hello
2026-06-07T16:31:21,70,0,0,0,0,HELLO,Hello
2026-06-07T16:31:43,91,0,0,0,100,HELLO,Hello
2026-06-07T16:31:46,95,0,0,0,100,HELLO,Hello
2026-06-07T16:31:51,87,0,0,0,0,HELLO,Hello
2026-06-07T16:31:54,80,0,0,100,100,HELLO,Hello
2026-06-07T16:31:54,80,0,0,0,100,HELLO,Hello
2026-06-07T16:32:14,78,0,0,100,100,HELLO,Hello
2026-06-07T16:32:15,82,0,0,100,100,HELLO,Hello
2026-06-07T16:32:16,74,0,0,0,0,HELLO,Hello
2026-06-07T16:32:23,100,0,0,0,0,HELLO,Hello
2026-06-07T16:32:55,76,0,0,100,100,HELLO,Hello
2026-06-07T16:33:22,95,0,0,100,100,HELLO,Hello
2026-06-07T16:33:37,72,0,0,0,0,HELLO,Hello
2026-06-07T16:33:38,70,0,0,100,100,HELLO,Hello
2026-06-07T16:38:01,0,0,100,0,0,NO,No
2026-06-07T16:40:27,97,0,89,0,0,NO,No
2026-06-07T19:18:31,17,0,0,33,0,REST,
2026-06-07T19:18:39,0,0,0,8,0,REST,
2026-06-07T19:18:40,11,0,0,11,0,REST,
2026-06-07T19:18:41,5,0,0,0,0,REST,
2026-06-07T19:18:46,0,0,0,33,0,REST,
2026-06-07T19:18:52,0,0,0,22,0,REST,
2026-06-07T19:18:58,0,0,0,2,0,REST,
2026-06-07T19:19:04,0,0,0,0,2,REST,
2026-06-07T19:19:05,1,0,0,0,0,REST,
2026-06-07T19:19:06,0,0,0,5,0,REST,
2026-06-07T19:19:12,1,0,0,16,0,REST,
2026-06-07T19:19:12,5,0,0,0,2,REST,
2026-06-07T19:19:18,21,0,0,0,13,REST,
2026-06-07T19:19:19,11,0,0,0,0,REST,
2026-06-07T19:19:29,1,0,0,11,16,REST,
2026-06-07T19:19:30,7,0,0,30,0,REST,
2026-06-07T19:19:36,3,0,0,2,0,REST,
2026-06-07T19:19:37,0,0,1,0,0,REST,
2026-06-07T19:19:38,0,0,0,27,0,REST,
2026-06-07T19:19:40,0,0,0,0,9,REST,
2026-06-07T19:19:41,5,0,0,33,6,REST,
2026-06-07T19:19:42,0,0,0,16,0,REST,
