1955,1927,0,1823,1842,76
1921,1927,0,1826,1838,78
1919,1926,0,1827,1835,80
1919,1928,0,1830,1840,77
1921,1929,0,1828,1841,77
1913,1922,0,1845,1837,79
1903,1906,5,1851,1846,74
1898,1903,9,1832,1839,78
1903,1904,8,1854,1842,76
1897,1905,7,1855,1853,70
1904,1904,8,1846,1854,70
1882,1899,15,1845,1845,75
1924,1926,0,1849,1850,72
1927,1926,0,1796,1851,71
1932,1924,0,1860,1858,68
1923,1926,0,1845,1857,68
1939,1924,0,1828,1844,75
1927,1924,0,1808,1842,76
1912,1908,2,1816,1823,87
1935,1909,1,1798,1825,85
1926,1911,0,1768,1822,87
1930,1922,0,1782,1815,91
1919,1919,0,1815,1805,96
1928,1920,0,1793,1802,98
1926,1921,0,1812,1837,79
1911,1919,0,1744,1830,83
1919,1918,0,1767,1820,88
1920,1920,0,1840,1816,90
1841,1912,0,1872,1825,85
1907,1910,0,1864,1829,83
