1924,1907,4,1992,1999,0
1921,1908,2,1998,1991,0
1920,1912,0,1988,1990,0
1915,1913,0,1991,1991,0
1913,1915,0,1995,1991,0
1915,1913,0,1995,1989,0
1947,1959,0,2022,2013,0                                                                                        
1958,1958,0,2012,2009,0                                                                                        
1952,1960,0,2017,2013,0                                                                                        
1952,1957,0,2025,2015,0                                                                                        
1951,1955,0,2019,2017,0                                                                                        
1951,1954,0,2020,2017,0      
1967,1955,0,2023,2024,0
1922,1952,0,2012,2019,0                                                                                        
1948,1948,0,2016,2020,0                                                                                        
1941,1948,0,2020,2021,0                                                                                        
1944,1946,0,2023,2023,0                                                                                        
1925,1942,0,2028,2022,0
1933,1928,0,1990,1970,7
1933,1925,0,1983,1966,9                                                                                        
1936,1924,0,1985,1968,8                                                                                        
1930,1926,0,1983,1969,8                                                                                        
1930,1928,0,1986,1969,8                                                                                        
1944,1929,0,1985,1974,5 
1879,1933,0,2006,1997,0
1897,1927,0,2007,1995,0
1867,1921,0,2002,1992,0
1893,1917,0,1991,1996,0
1846,1899,15,1987,1997,0
1941,1936,0,1994,1988,0
1948,1946,0,1991,1991,0
1935,1947,0,1996,1994,0
1943,1943,0,2000,1994,0
1948,1943,0,1996,1994,0
1935,1942,0,1998,1995,0
